work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EX,FT,Information Security Officer,160000,USD,160000,United States,100,United States,M
2023,EX,FT,Information Security Officer,100000,USD,100000,United States,100,United States,M
2023,SE,FT,Security Engineer,247250,USD,247250,United States,0,United States,M
2023,SE,FT,Security Engineer,160000,USD,160000,United States,0,United States,M
2023,SE,FT,Security Engineer,224250,USD,224250,United States,0,United States,M
2023,SE,FT,Security Engineer,116000,USD,116000,United States,0,United States,M
2023,SE,FT,Security Architect,146000,USD,146000,United States,100,United States,M
2023,SE,FT,Security Architect,78900,USD,78900,United States,100,United States,M
2023,SE,FT,Security Engineer,384348,USD,384348,United States,0,United States,M
2023,SE,FT,Security Engineer,255652,USD,255652,United States,0,United States,M
2023,SE,FT,Security Engineer,165000,USD,165000,United States,0,United States,M
2023,SE,FT,Security Engineer,115000,USD,115000,United States,0,United States,M
2023,SE,FT,Security Engineer,185000,USD,185000,United States,100,United States,M
2023,SE,FT,Security Engineer,155000,USD,155000,United States,100,United States,M
2023,SE,FT,Security Engineer,181000,USD,181000,United States,100,United States,M
2023,SE,FT,Security Engineer,155000,USD,155000,United States,100,United States,M
2023,SE,FT,Application Security Engineer,50000,USD,50000,Viet Nam,50,Viet Nam,L
2023,SE,FT,Incident Response Analyst,143000,USD,143000,United States,100,United States,M
2023,SE,FT,Incident Response Analyst,114500,USD,114500,United States,100,United States,M
2023,SE,FT,Incident Response Analyst,97500,USD,97500,United States,100,United States,M
2023,SE,FT,Incident Response Analyst,78000,USD,78000,United States,100,United States,M
2023,SE,FT,Security Engineer,184800,USD,184800,United States,0,United States,M
2023,SE,FT,Security Engineer,161900,USD,161900,United States,0,United States,M
2023,SE,FT,Security Specialist,133000,USD,133000,United States,0,United States,M
2023,SE,FT,Security Specialist,58400,USD,58400,United States,0,United States,M
2023,MI,FT,Information System Security Officer,134550,USD,134550,United States,0,United States,M
2023,MI,FT,Information System Security Officer,99450,USD,99450,United States,0,United States,M
2023,SE,FT,Security Engineer,165759,USD,165759,United States,0,United States,M
2023,SE,FT,Security Engineer,120552,USD,120552,United States,0,United States,M
2023,MI,FT,Security Specialist,107000,USD,107000,United States,0,United States,M
2023,MI,FT,Security Specialist,57000,USD,57000,United States,0,United States,M
2023,SE,FT,Security Engineer,235000,USD,235000,United States,100,United States,M
2023,SE,FT,Security Engineer,160000,USD,160000,United States,100,United States,M
2023,SE,FT,Incident Response Analyst,234900,USD,234900,United States,0,United States,M
2023,SE,FT,Incident Response Analyst,97300,USD,97300,United States,0,United States,M
2023,SE,FT,SOC Engineer,269100,USD,269100,United States,0,United States,M
2023,SE,FT,SOC Engineer,131300,USD,131300,United States,0,United States,M
2023,SE,FT,Security Engineer,140000,USD,140000,United States,0,United States,M
2023,SE,FT,Security Engineer,105000,USD,105000,United States,0,United States,M
2023,SE,FT,Security Engineer,256000,USD,256000,United States,0,United States,M
2023,SE,FT,Security Engineer,160000,USD,160000,United States,0,United States,M
2023,SE,FT,Compliance Analyst,154170,USD,154170,United States,0,United States,M
2023,SE,FT,Compliance Analyst,104830,USD,104830,United States,0,United States,M
2023,SE,FT,Security Engineer,247600,USD,247600,United States,0,United States,L
2023,SE,FT,Security Engineer,136000,USD,136000,United States,0,United States,L
2023,SE,FT,Security Engineer,185000,USD,185000,United States,0,United States,M
2023,SE,FT,Security Engineer,150000,USD,150000,United States,0,United States,M
2023,SE,FT,Cyber Security Manager,259000,USD,259000,United States,0,United States,M
2023,SE,FT,Cyber Security Manager,123000,USD,123000,United States,0,United States,M
2023,SE,FT,Security Analyst,166000,USD,166000,United States,0,United States,M
2023,SE,FT,Security Analyst,73000,USD,73000,United States,0,United States,M
2023,SE,FT,Security Software Engineer,128500,USD,128500,United States,100,United States,M
2023,SE,FT,Security Software Engineer,67500,USD,67500,United States,100,United States,M
2023,SE,FT,Information System Security Officer,166000,USD,166000,United States,0,United States,M
2023,SE,FT,Information System Security Officer,73100,USD,73100,United States,0,United States,M
2023,SE,FT,Security Engineer,154000,USD,154000,United States,0,United States,M
2023,SE,FT,Security Engineer,103000,USD,103000,United States,0,United States,M
2023,SE,FT,Security Software Engineer,185000,USD,185000,United States,0,United States,M
2023,SE,FT,Security Software Engineer,122000,USD,122000,United States,0,United States,M
2023,SE,FT,Security Consultant,170000,USD,170000,United States,100,United States,M
2023,SE,FT,Security Consultant,150000,USD,150000,United States,100,United States,M
2023,SE,FT,Threat Intelligence Analyst,225500,USD,225500,United States,0,United States,M
2023,SE,FT,Threat Intelligence Analyst,139400,USD,139400,United States,0,United States,M
2023,SE,FT,Security Architect,255000,USD,255000,United States,0,United States,M
2023,SE,FT,Security Architect,169000,USD,169000,United States,0,United States,M
2023,SE,FT,Security Engineer,185800,USD,185800,United States,0,United States,M
2023,SE,FT,Security Engineer,93400,USD,93400,United States,0,United States,M
2023,SE,FT,Network Security Engineer,60000,EUR,64781,Slovenia,50,Slovenia,L
2023,MI,FT,Security Engineer,128622,USD,128622,United States,0,United States,M
2023,MI,FT,Security Engineer,85782,USD,85782,United States,0,United States,M
2023,SE,FT,DevSecOps Engineer,135000,USD,135000,United States,0,United States,M
2023,SE,FT,DevSecOps Engineer,110000,USD,110000,United States,0,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,111600,USD,111600,United States,0,United States,L
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,MI,FT,Compliance Manager,183370,USD,183370,United States,100,United States,M
2023,MI,FT,Compliance Manager,87220,USD,87220,United States,100,United States,M
2023,MI,FT,Privacy Manager,185000,USD,185000,United States,0,United States,M
2023,MI,FT,Privacy Manager,94700,USD,94700,United States,0,United States,M
2023,EX,FT,Information Security Officer,362560,USD,362560,United States,0,United States,M
2023,EX,FT,Information Security Officer,186320,USD,186320,United States,0,United States,M
2023,MI,FT,Security Operations Analyst,150300,USD,150300,United States,0,United States,L
2023,MI,FT,Security Operations Analyst,59800,USD,59800,United States,0,United States,L
2023,SE,FT,Security Engineer,229500,USD,229500,United States,0,United States,M
2023,SE,FT,Security Engineer,183500,USD,183500,United States,0,United States,M
2023,SE,FT,Security Engineer,190000,USD,190000,United States,100,United States,M
2023,SE,FT,Security Engineer,136000,USD,136000,United States,100,United States,M
2023,SE,FT,Security Engineer,198000,USD,198000,United States,100,United States,M
2023,SE,FT,Security Engineer,149000,USD,149000,United States,100,United States,M
2023,MI,FT,Security Engineer,285000,USD,285000,Australia,0,Australia,M
2023,MI,FT,Security Engineer,230000,USD,230000,Australia,0,Australia,M
2023,SE,FT,Security Engineer,206000,USD,206000,United States,100,United States,M
2023,SE,FT,Security Engineer,175100,USD,175100,United States,100,United States,M
2023,SE,FT,Security Researcher,235400,USD,235400,United States,0,United States,M
2023,SE,FT,Security Researcher,145500,USD,145500,United States,0,United States,M
2023,SE,FT,Security Analyst,97000,USD,97000,United States,0,United States,M
2023,SE,FT,Security Analyst,65000,USD,65000,United States,0,United States,M
2023,SE,FT,Security Engineer,252500,USD,252500,Canada,100,Canada,M
2023,SE,FT,Security Engineer,252500,USD,252500,Canada,100,Canada,M
2023,SE,FT,Cyber Engineer,186000,USD,186000,United States,0,United States,M
2023,SE,FT,Cyber Engineer,81800,USD,81800,United States,0,United States,M
2023,MI,FT,DevSecOps Engineer,133000,USD,133000,United States,0,United States,M
2023,MI,FT,DevSecOps Engineer,58400,USD,58400,United States,0,United States,M
2023,SE,FT,Security Engineer,170000,USD,170000,United States,0,United States,M
2023,SE,FT,Security Engineer,105000,USD,105000,United States,0,United States,M
2023,SE,FT,Security Engineer,221950,USD,221950,United States,0,United States,M
2023,SE,FT,Security Engineer,136850,USD,136850,United States,0,United States,M
2023,EX,FT,Information Security Officer,300000,USD,300000,United States,0,United States,M
2023,EX,FT,Information Security Officer,250000,USD,250000,United States,0,United States,M
2023,SE,FT,Professional Services Consultant,180500,USD,180500,United States,0,United States,M
2023,SE,FT,Professional Services Consultant,131300,USD,131300,United States,0,United States,M
2023,SE,FT,Security Architect,180500,USD,180500,United States,0,United States,M
2023,SE,FT,Security Architect,131300,USD,131300,United States,0,United States,M
2023,SE,FT,Cyber Security Manager,3600000,INR,43779,India,100,India,L
2023,MI,FT,Compliance Analyst,112875,USD,112875,United States,0,United States,M
2023,MI,FT,Compliance Analyst,60795,USD,60795,United States,0,United States,M
2023,SE,FT,Compliance Analyst,167300,USD,167300,United States,100,United States,M
2023,SE,FT,Compliance Analyst,104700,USD,104700,United States,100,United States,M
2023,SE,FT,Security Researcher,100000,USD,100000,United States,100,United States,M
2023,SE,FT,Security Researcher,60000,USD,60000,United States,100,United States,M
